word,count,probability
abandon,2,0.00015610365282547612
abide,1,7.805182641273806e-05
absence,2,0.00015610365282547612
absent,3,0.0002341554792382142
absolute,14,0.0010927255697783327
absolutely,3,0.0002341554792382142
abstain,1,7.805182641273806e-05
abstract,7,0.0005463627848891664
abstracted,1,7.805182641273806e-05
abstraction,4,0.00031220730565095225
abstractions,1,7.805182641273806e-05
abstractly,1,7.805182641273806e-05
absurd,5,0.0003902591320636903
absurdities,1,7.805182641273806e-05
absurdity,3,0.0002341554792382142
accept,3,0.0002341554792382142
acceptance,1,7.805182641273806e-05
accepted,4,0.00031220730565095225
accepting,4,0.00031220730565095225
accepts,1,7.805182641273806e-05
access,10,0.0007805182641273806
accessed,1,7.805182641273806e-05
accessible,1,7.805182641273806e-05
accident,1,7.805182641273806e-05
accidental,1,7.805182641273806e-05
accidents,1,7.805182641273806e-05
accompanied,1,7.805182641273806e-05
accord,1,7.805182641273806e-05
account,18,0.001404932875429285
accounted,4,0.00031220730565095225
accounting,1,7.805182641273806e-05
accurate,1,7.805182641273806e-05
accusative,1,7.805182641273806e-05
accustomed,2,0.00015610365282547612
achieve,1,7.805182641273806e-05
achieved,4,0.00031220730565095225
achieves,1,7.805182641273806e-05
acquaintance,77,0.0060099906337808305
acquainted,71,0.0055416796753044026
acquiesce,1,7.805182641273806e-05
acquiescence,1,7.805182641273806e-05
acquire,5,0.0003902591320636903
acquired,2,0.00015610365282547612
acquiring,2,0.00015610365282547612
acquisition,1,7.805182641273806e-05
action,4,0.00031220730565095225
actions,2,0.00015610365282547612
active,2,0.00015610365282547612
activity,1,7.805182641273806e-05
acts,4,0.00031220730565095225
actual,28,0.0021854511395566654
acute,1,7.805182641273806e-05
adapts,1,7.805182641273806e-05
adding,1,7.805182641273806e-05
addition,8,0.0006244146113019045
additional,3,0.0002341554792382142
additions,2,0.00015610365282547612
address,1,7.805182641273806e-05
addresses,1,7.805182641273806e-05
adduced,1,7.805182641273806e-05
adequacy,1,7.805182641273806e-05
adequate,2,0.00015610365282547612
adequately,1,7.805182641273806e-05
adjectives,5,0.0003902591320636903
admirable,1,7.805182641273806e-05
admission,2,0.00015610365282547612
admit,14,0.0010927255697783327
admits,2,0.00015610365282547612
admitted,6,0.0004683109584764284
admitting,1,7.805182641273806e-05
admixture,1,7.805182641273806e-05
adopt,6,0.0004683109584764284
advance,4,0.00031220730565095225
advanced,3,0.0002341554792382142
advances,1,7.805182641273806e-05
adversaries,1,7.805182641273806e-05
advocate,1,7.805182641273806e-05
advocated,6,0.0004683109584764284
advocates,1,7.805182641273806e-05
advocating,1,7.805182641273806e-05
aeroplanes,2,0.00015610365282547612
aesthetic,1,7.805182641273806e-05
aether,1,7.805182641273806e-05
affairs,1,7.805182641273806e-05
affections,1,7.805182641273806e-05
affirm,2,0.00015610365282547612
affirmative,1,7.805182641273806e-05
affirmed,2,0.00015610365282547612
afford,3,0.0002341554792382142
afforded,1,7.805182641273806e-05
affords,2,0.00015610365282547612
age,4,0.00031220730565095225
agent,1,7.805182641273806e-05
agree,12,0.0009366219169528567
agreeably,1,7.805182641273806e-05
agreed,5,0.0003902591320636903
agreement,19,0.0014829847018420232
aim,1,7.805182641273806e-05
aimed,1,7.805182641273806e-05
aims,3,0.0002341554792382142
air,5,0.0003902591320636903
akin,1,7.805182641273806e-05
alien,1,7.805182641273806e-05
alive,2,0.00015610365282547612
allowed,1,7.805182641273806e-05
allowing,1,7.805182641273806e-05
alter,2,0.00015610365282547612
alteration,1,7.805182641273806e-05
altered,1,7.805182641273806e-05
alternate,1,7.805182641273806e-05
alternatives,1,7.805182641273806e-05
alters,1,7.805182641273806e-05
altogether,5,0.0003902591320636903
ambiguity,3,0.0002341554792382142
ambiguous,5,0.0003902591320636903
ambitious,1,7.805182641273806e-05
amend,1,7.805182641273806e-05
amply,1,7.805182641273806e-05
analogous,1,7.805182641273806e-05
analyse,1,7.805182641273806e-05
analyses,1,7.805182641273806e-05
analysing,2,0.00015610365282547612
analysis,8,0.0006244146113019045
analytic,3,0.0002341554792382142
anatomist,1,7.805182641273806e-05
angles,3,0.0002341554792382142
animal,1,7.805182641273806e-05
animals,6,0.0004683109584764284
announcement,1,7.805182641273806e-05
announces,2,0.00015610365282547612
answer,27,0.0021073993131439277
answered,2,0.00015610365282547612
answering,3,0.0002341554792382142
answers,11,0.0008585700905401186
anticipate,1,7.805182641273806e-05
anticipating,1,7.805182641273806e-05
anticipation,1,7.805182641273806e-05
antithesis,3,0.0002341554792382142
anxious,2,0.00015610365282547612
anybody's,1,7.805182641273806e-05
apparent,13,0.0010146737433655948
appeal,4,0.00031220730565095225
appealing,2,0.00015610365282547612
appearance,13,0.0010146737433655948
appearances,1,7.805182641273806e-05
appeared,5,0.0003902591320636903
appearing,1,7.805182641273806e-05
appears,17,0.001326881049016547
appetite,1,7.805182641273806e-05
applicable,12,0.0009366219169528567
application,1,7.805182641273806e-05
applications,3,0.0002341554792382142
applied,1,7.805182641273806e-05
applies,17,0.001326881049016547
apply,9,0.0007024664377146425
applying,2,0.00015610365282547612
apportions,1,7.805182641273806e-05
apprehend,3,0.0002341554792382142
apprehended,10,0.0007805182641273806
apprehending,2,0.00015610365282547612
apprehends,1,7.805182641273806e-05
apprehension,3,0.0002341554792382142
approach,5,0.0003902591320636903
approaches,1,7.805182641273806e-05
approaching,1,7.805182641273806e-05
apt,5,0.0003902591320636903
archive,13,0.0010146737433655948
arduous,1,7.805182641273806e-05
argue,5,0.0003902591320636903
argued,2,0.00015610365282547612
argues,1,7.805182641273806e-05
arguing,1,7.805182641273806e-05
argument,26,0.0020293474867311896
arguments,16,0.001248829222603809
arises,4,0.00031220730565095225
arithmetic,11,0.0008585700905401186
arithmetical,3,0.0002341554792382142
arm,3,0.0002341554792382142
arose,1,7.805182641273806e-05
arrange,1,7.805182641273806e-05
arranged,2,0.00015610365282547612
arrangement,3,0.0002341554792382142
array,1,7.805182641273806e-05
arrive,7,0.0005463627848891664
arrived,1,7.805182641273806e-05
arriving,1,7.805182641273806e-05
arrogant,1,7.805182641273806e-05
artificial,1,7.805182641273806e-05
ascertain,2,0.00015610365282547612
ascertainable,2,0.00015610365282547612
ascertained,1,7.805182641273806e-05
ascii,2,0.00015610365282547612
aspect,2,0.00015610365282547612
assassinated,1,7.805182641273806e-05
assent,2,0.00015610365282547612
assented,1,7.805182641273806e-05
assert,7,0.0005463627848891664
asserted,2,0.00015610365282547612
asserting,3,0.0002341554792382142
assertion,3,0.0002341554792382142
asserts,7,0.0005463627848891664
assigns,1,7.805182641273806e-05
assimilate,1,7.805182641273806e-05
assist,1,7.805182641273806e-05
assistance,3,0.0002341554792382142
associate,2,0.00015610365282547612
association,10,0.0007805182641273806
associations,2,0.00015610365282547612
assume,10,0.0007805182641273806
assumed,4,0.00031220730565095225
assumes,3,0.0002341554792382142
assuming,6,0.0004683109584764284
assumption,2,0.00015610365282547612
assumptions,1,7.805182641273806e-05
assurance,1,7.805182641273806e-05
assure,1,7.805182641273806e-05
assured,1,7.805182641273806e-05
astray,1,7.805182641273806e-05
astronomy,2,0.00015610365282547612
astute,4,0.00031220730565095225
ate,1,7.805182641273806e-05
atheists,1,7.805182641273806e-05
atoms,1,7.805182641273806e-05
attach,2,0.00015610365282547612
attached,1,7.805182641273806e-05
attack,1,7.805182641273806e-05
attain,1,7.805182641273806e-05
attainable,1,7.805182641273806e-05
attained,3,0.0002341554792382142
attempt,16,0.001248829222603809
attempted,2,0.00015610365282547612
attempts,4,0.00031220730565095225
attendant,2,0.00015610365282547612
attention,5,0.0003902591320636903
attested,1,7.805182641273806e-05
attitude,1,7.805182641273806e-05
attributing,1,7.805182641273806e-05
author,1,7.805182641273806e-05
avoid,5,0.0003902591320636903
avoided,1,7.805182641273806e-05
avoiding,1,7.805182641273806e-05
aware,24,0.0018732438339057135
awareness,3,0.0002341554792382142
axioms,3,0.0002341554792382142
babies,1,7.805182641273806e-05
bad,3,0.0002341554792382142
bald,3,0.0002341554792382142
baldness,1,7.805182641273806e-05
balfour,2,0.00015610365282547612
balloons,2,0.00015610365282547612
banging,1,7.805182641273806e-05
bannerman,1,7.805182641273806e-05
bar,1,7.805182641273806e-05
bare,2,0.00015610365282547612
barrier,1,7.805182641273806e-05
based,14,0.0010927255697783327
basis,8,0.0006244146113019045
battle,3,0.0002341554792382142
bear,2,0.00015610365282547612
bearing,2,0.00015610365282547612
bed,1,7.805182641273806e-05
beech,10,0.0007805182641273806
beg,1,7.805182641273806e-05
begging,1,7.805182641273806e-05
beginner,1,7.805182641273806e-05
begs,1,7.805182641273806e-05
begun,1,7.805182641273806e-05
behave,1,7.805182641273806e-05
behaviour,1,7.805182641273806e-05
beleagured,1,7.805182641273806e-05
belief,100,0.007805182641273806
beliefs,50,0.003902591320636903
